0,1,2,3,4,5,6
Buttermilk Brine,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Buttermilk,0.5,Gallon,Gallon,0.5,,1. Combine all ingredients in a cambro and whisk.
Franks Hot Sauce,500,grams,grams,500,,
Garlic Powder,0.25,cup,cup,0.25,,
Onion Powder,0.25,cup,cup,0.25,,
Ground Black Pepper,0.5,cup,cup,0.5,,
Kosher Salt,0.333333333333333,cup,cup,0.333333333333333,,
Yield:,12 qt of brined chicken,,,,,
,,,,,,
,,,,,,
Lariat Rub,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Salt,0.5,cup,cup,0.5,,1. Whisk together in mixing bowl.
Paprika,0.333333333333333,cup,cup,0.333333333333333,,
Garlic Powder,0.333333333333333,cup,cup,0.333333333333333,,
Onion Powder,0.333333333333333,cup,cup,0.333333333333333,,
Pepper,1.5,tbsp,tbsp,1.5,,
Turbinado,0.333333333333333,cup,cup,0.333333333333333,,
Cayenne,1,tsp,tsp,1,,
Cumin,1,tsp,tsp,1,,
,,,,,,
,,,,,,
Queso / Mac Sauce,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Heavy Cream,3,QT,QT,3,,"1. Combine milk and heavy cream in large sauce pot, bring to a boil."
Whole Milk,2,Gallon,Gallon,2,,2. Shred cheese blocks in Robocoupe.
5LB Cheese Block,4,ea,ea,4,,"3. Slowly incorporate shredded cheese into boiling pot, stir until melted."
5LB Bags Shredded Cheddar,2,ea,ea,2,,4. Transfer into 22 Qt. cambro and insert ice wand.
Lariat Rub,1.5,cup,cup,1.5,,
Green Chile,1,bag,bag,1,,
Blackened Salsa,2,QT,QT,2,,
,,,,,,
,,,,,,
Blackened Tomato Salsa,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Tomatoes,2,cases,cases,2,,1. Blacken tomatoes on char grill.
Cilantro,8,bunches,bunches,8,,2. Blacken halved onions and jalapenos in salamander.
Destemmed Fresh Jalapenos,2,quarts,quarts,2,,3. Combine all ingredients in 22 qt cambro or large pot.
Yellow Onions,6,ea,ea,6,,4. Bur mix thoroughly.
Kosher Salt,1,cup,cup,1,,
Fresh Minced Garlic,1.5,cup,cup,1.5,,
,,,,,,
,,,,,,
Chicken Flour,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
AP Flour,18,kg,kg,18,,1. Combine and mix thoroughly.
Kosher Salt,1.5,cups,cups,1.5,,
Pepper,2,cup,cup,2,,
Paprika,1,cup,cup,1,,
Onion Powder,1.5,cup,cup,1.5,,
Garlic Powder,1.5,cup,cup,1.5,,
Yield:,22 QT,,,,,
,,,,,,
,,,,,,
Nashville Hot Rub,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Lariat Rub,1,cup,cup,1,,1. Combine and mix.
Cayenne,0.25,cup,cup,0.25,,
Chili Powder,10,tbsp,tbsp,10,,
,,,,,,
,,,,,,
Aji Verde,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Cilantro,600,g,g,600,,"1. Combine lime juice, mayo, garlic, salt, olive oil, jalapenos, half cilantro. Blend."
Lime Juice,300,g,g,300,,2. Add other half of cilantro.
Mayo,300,g,g,300,,3. Blend on low.
Garlic,100,g,g,100,,
Salt,20,g,g,20,,
Olive Oil,80,g,g,80,,
Jalapeno (deseeded & deveined),250,g,g,250,,
,,,,,,
,,,,,,
Bacon Jam,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Bacon (diced),15,lb,lb,15,,1. Render bacon on flat top until lightly crispy.
Onion,10,ea,ea,10,,2. Season with lariat rub.
Orange Juice,1,qt,qt,1,,"3. Add onions, cook on medium heat until caramelized."
Brown Sugar,4,lbs,lbs,4,,4. Add brown sugar to melt.
Lariat Rub,0.5,cup,cup,0.5,,5. Add orange juice and reduce to jammy.
,,,,,,
,,,,,,
Special Sauce,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Mayo,9,cups,cups,9,,1. Whisk together in mixing bowl.
Ketchup,1.5,cups,cups,1.5,,
Mustard,1.5,cups,cups,1.5,,
Onion Powder,0.5,cup,cup,0.5,,
Garlic Powder,0.5,cup,cup,0.5,,
Paprika,0.5,cup,cup,0.5,,
White Sugar,0.5,cup,cup,0.5,,
Apple Cider Vinegar,1,cup,cup,1,,
,,,,,,
,,,,,,
Fish Brine,,,,,Scale:,1
