order_number,order_date,state,n_lines,line_sum,orders_in_email,email_printed_total,email_line_sum,email_residual,message_date
04553681,05/03/2026,allocated,5,556.17,1,556.17,556.17,0.00,2026-05-03T21:13:16Z
04560816,05/06/2026,allocated,7,395.12,1,395.12,395.12,0.00,2026-05-06T20:21:17Z
04560934,05/06/2026,allocated,4,271.17,1,271.17,271.17,0.00,2026-05-06T20:34:13Z
04568191,05/10/2026,confirmation,23,1524.28,2,1619.39,1619.39,0.00,2026-05-10T20:59:02Z
04568201,05/10/2026,allocated,3,157.44,1,157.44,157.44,0.00,
M6c504942d4db,05/10/2026,confirmation,2,95.11,2,1619.39,1619.39,0.00,2026-05-10T20:59:02Z
04575863,05/13/2026,allocated,7,253.15,1,253.15,253.15,0.00,2026-05-13T21:37:23Z
04575877,05/13/2026,confirmation,14,854.16,2,910.69,910.69,0.00,2026-05-13T21:38:15Z
04575879,05/13/2026,confirmation,2,56.53,2,910.69,910.69,0.00,2026-05-13T21:38:15Z
04589930,05/20/2026,allocated,51,3794.21,1,3794.21,3794.21,0.00,2026-05-20T21:08:46Z
04589935,05/20/2026,allocated,4,136.19,1,136.19,136.19,0.00,2026-05-20T21:09:37Z
04604579,05/27/2026,allocated,40,3649.85,1,3649.85,3649.85,0.00,2026-05-27T21:47:34Z
14350664,05/27/2026,confirmation,2,283.96,2,3683.53,3650.16,33.37,2026-05-27T21:24:51Z
04605146,05/28/2026,allocated,7,274.87,1,274.87,274.87,0.00,2026-05-28T14:13:14Z
04611612,05/31/2026,allocated,25,2157.34,1,2157.34,2157.34,0.00,2026-05-31T19:34:12Z
04612237,05/31/2026,allocated,1,25.55,1,25.55,25.55,0.00,
04619977,06/03/2026,allocated,31,3286.88,1,3286.88,3286.88,0.00,2026-06-03T21:53:50Z
04627393,06/07/2026,allocated,34,2487.63,1,2487.63,2487.63,0.00,2026-06-07T21:14:25Z
04627746,06/07/2026,confirmation,1,57.72,1,57.72,57.72,0.00,
04635583,06/10/2026,allocated,40,3156.14,1,3156.14,3156.14,0.00,2026-06-10T21:47:39Z
04643328,06/14/2026,allocated,18,2803.50,1,2803.50,2803.50,0.00,2026-06-14T21:22:42Z
04653737,06/18/2026,allocated,13,579.74,1,579.74,579.74,0.00,2026-06-18T19:59:28Z
04659476,06/21/2026,confirmation,56,5644.94,2,5736.11,5722.20,13.91,2026-06-21T21:28:00Z
14380632,06/21/2026,confirmation,2,77.26,2,5736.11,5722.20,13.91,2026-06-21T21:28:00Z
04665226,06/24/2026,modified,7,603.81,1,603.81,603.81,0.00,2026-06-24T01:28:28Z
04667336,06/24/2026,allocated,6,457.59,1,457.59,457.59,0.00,2026-06-24T21:02:47Z
04675097,06/28/2026,confirmation,70,6467.31,2,6813.51,6813.51,0.00,2026-06-28T21:05:00Z
04675098,06/28/2026,confirmation,2,346.20,2,6813.51,6813.51,0.00,2026-06-28T21:05:00Z
04690479,07/05/2026,allocated,33,2524.01,1,2524.01,2524.01,0.00,2026-07-05T21:29:36Z
04697231,07/08/2026,allocated,1,8.99,1,8.99,8.99,0.00,
04698081,07/08/2026,allocated,3,75.47,1,75.47,75.47,0.00,
04705867,07/12/2026,allocated,67,6205.64,1,6205.64,6205.64,0.00,2026-07-12T21:30:57Z
04713228,07/15/2026,allocated,50,4960.76,1,4960.76,4960.76,0.00,2026-07-15T19:17:13Z
04720527,07/19/2026,allocated,33,2958.80,1,2958.80,2958.80,0.00,2026-07-19T19:01:20Z
04735930,07/25/2026,confirmation,,260.77,1,260.77,260.77,0.00,
04745359,07/29/2026,allocated,1,48.95,1,48.95,48.95,0.00,
04745437,07/29/2026,allocated,1,111.50,1,111.50,111.50,0.00,
04745480,07/29/2026,allocated,1,24.79,1,24.79,24.79,0.00,
