order_number,order_date,supc,description,qty,uom,extended_price,note
04627746,06/07/2026,7465969,"Pan Foil Steam Table 2.56 Inch Deep",1,CS,57.72,read inline
04612237,05/31/2026,1675701,"Cabbage Green Shredded Fresh In Bag",1,CS,25.55,read inline
04568201,05/10/2026,3554553,"Cheese Monterey Pepper Jack Sliced Interleaf .",1,CS,49.99,read inline
04568201,05/10/2026,2916452,"Drink Energy",1,CS,62.00,read inline
04568201,05/10/2026,1007350,"Avocado Hass Breaking Fresh",1,CS,45.45,read inline
04697231,07/08/2026,2004810,"Rosemary Fresh Herb",1,CS,8.99,read inline
04698081,07/08/2026,9927799,"Pepper Jalapeno Fresh",1,CS,25.45,read inline
04698081,07/08/2026,4676306,"Milk Whole Gallon",1,CS,23.13,read inline
04698081,07/08/2026,1070879,"Avocado Hass Fresh",1,CS,26.89,read inline
04745437,07/29/2026,6971939,"Nectar Peach",2,CS,111.50,read inline
04745359,07/29/2026,5661143,"Tomato Cherry Heirloom Mix",1,CS,48.95,read inline
04745480,07/29/2026,8312696,"Juice Pomegranate 100% Fresh",1,CS,24.79,read inline
04359182,02/01/2026,3554553,"Cheese Monterey Pepper Jack Sliced Interleaf .",1,CS,41.95,read inline
04359182,02/01/2026,3777570,"Bacon Shingle Center-cut 7-9 Per Pound Honey Gas Flushed",4,CS,263.96,read inline
