thread_id,message_id,message_date,subject,state,seller,order_number,order_date,delivery_date,supc,description,pack_size,brand,qty,qty_ordered,uom,unit_price,unit_basis,extended_price,is_third_party,is_oos,is_substitute,bucket
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,6800494,"Potato Fry 5/16"" Beer Extra Long",6/5 LB,BREW CITY,2.0,2.0,CS,62.55,,125.1,0,0,1,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,5172253,Mix Pancake Waffle Buttermilk Complete,6/5 LB,KRUSTEAZ,1.0,1.0,CS,84.65,,84.65,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,5934567,Liner Trash 39 Inch X 56 Inch 1.7 Mil Silver Linear Low-density Polyethylene (lldpe),50/55GAL,SYSCO CLASSIC,2.0,2.0,CS,44.09,,88.18,0,0,0,non_food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,8139529,"Tortilla Flour 14""",8/12CT,LA BANDERITA,1.0,1.0,CS,47.65,,47.65,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,5229281,Spice Pepper Black Coarse Ground,3/5LB,SYSCO IMPERIAL/MCCORMICK,2.0,2.0,EA,109.99,,219.98,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,4218998,Label Roll Universal Plastic 2 Inch X 2 Inch,1/750CT,KEYSTONE PRODUCTS,1.0,1.0,CS,26.95,,26.95,0,0,0,non_food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,1491552,"Bun Brioche 4.5""",8/10CT,TURANO,2.0,2.0,CS,55.04,,110.08,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,7301510,Cheese Oaxaca Shred 5 Pounds,4/5LB,CASA SOLANA CLASSIC,1.0,1.0,CS,104.99,,104.99,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,7121503,Sausage Breakfast Patty 3.5 Ounce Antibiotic Free,42/3.5OZ,Polidori,1.0,1.0,CS,55.95,,55.95,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,2369233,Chicken Wing Steamed Precooked Large,2/5LB,SYSCO CLASSIC,2.0,2.0,CS,43.95,,87.9,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,5098496,Pork Ham Shank Pig Wing 4 Ounce,2/4.5LB,SYSCO CLASSIC,2.0,2.0,CS,89.69,,179.38,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,3777570,Bacon Shingle Center-cut 7-9 Per Pound Honey Gas Flushed,1/15#,DAILYS BACON,2.0,2.0,CS,65.99,,131.98,0,0,0,food
19b8a9a19eeb9aaf,19b8a9a19eeb9aaf,2026-01-04T20:01:52Z,Sysco Order #04301316 - Order Allocated - LARIAT,allocated,Sysco Standard Delivery,04301316,01/04/2026,01/05/2026,3029614,Butter Clarified 4-5#,4/5 LB,WHOLESOME FARMS CLASSIC,1.0,1.0,CS,86.95,,86.95,0,0,0,food
