sku,ingredient,catalog_wt_lb,tare_lb,source,verified
3914261,"BEEF, CHEEK MEAT REFRIG",30.0,,shamrock_invoice_avg,false
4884541,"TROUT, RAINBOW WHL 9-11Z PBO BTRFLY",10.0,,shamrock_invoice_avg,false
4819921,"TURKEY, WHL W-GIBLET 12-16LB REFRIG",56.0,,shamrock_invoice_pack,false
3559871,"TURKEY, TOM 20-24LB REFRIG",44.0,,shamrock_invoice_pack,false
3118441,"CHEESE, COTIJA QTRD CWT",12.0,,shamrock_invoice_est,false
3100801,"BEEF, BRISKET 120 REF GCA",70.0,,shamrock_invoice_est,false
2752021,"PORK, BUTT BNLS ALWAYS TNDR F2F",75.0,,shamrock_invoice_est,false
2377871,"CHICKEN, WOG 3-3.5LB FRYER 12HD",36.0,,shamrock_invoice_pack,false
2324001,"HAM, BLK FRST 97% FF WHL SMKD WA CKD",20.0,,shamrock_invoice_pack,false
1928081,"PORK, BUTT BI CVP REFRIG P12NC",65.0,,shamrock_invoice_pack,false
1318111,"CHEESE, COTIJA RNDM CUT",12.0,,shamrock_invoice_pack,false
0034176,"CHICKEN, WOG 3-3.25LB HALAL",48.0,,shamrock_invoice_pack,false
0017098,"CHICKEN, BRST CUTLET 5Z BNLS SKNLS",20.0,,shamrock_invoice_pack,false
