sku,ingredient,pack_size,pack_unit,sysco_net_wt_lb,tare_lb,verified_net_weight_g,source,verified
5844220,Bean Black,6,CT,41.25,,,sysco_catalog,false
6693642,Pepper Red Diced Fancy,24,CT,21.7,,,sysco_catalog,false
4011110,Pudding Banana Zero Trans Fat,6,CT,42.0,,,sysco_catalog,false
4011078,Pudding Vanilla Ready To Use,6,CT,42.0,,,sysco_catalog,false
4730424,Sauce Marinara Premium Midwest,6,CT,39.41,,,sysco_catalog,false
4000899,Sugar Extra Fine Granular Packet,2000,CT,12.5,,,sysco_catalog,false
7268367,Tea Bag Awake English Breakfast Organic,96,CT,0.54,,,sysco_catalog,false
4122321,Tea Hot Bag Black English Teatime,168,CT,1.844,,,sysco_catalog,false
7191505,Tea Hot Bag Green,168,CT,1.9,,,sysco_catalog,false
4978898,Tomato Crushed All Purpose  California,6,CT,39.8,,,sysco_catalog,false
6562207,Tortilla Corn White 4.5 Inch,300,CT,12.55,,,sysco_catalog,false
1970896,"Tortilla Corn White 6""",720,CT,26.25,,,sysco_catalog,false
7019826,Tortilla Corn White 6.25 Inch,360,CT,29.4,,,sysco_catalog,false
5250485,Tortilla Corn Yellow Frying 6 Inches,720,CT,22.5,,,sysco_catalog,false
8139529,"Tortilla Flour 14""",96,CT,22.0,,,sysco_catalog,false
2386159,"Tortilla Flour Pressed 10""",144,CT,22.5,,,sysco_catalog,false
4692174,Tortilla Flour Pressed 6 Inch,288,CT,19.7,,,sysco_catalog,false
2386142,Tortilla Flour Pressed 8 Inch,288,CT,28.5,,,sysco_catalog,false
7032400,Tortilla White Corn 5.5 Inch,432,CT,23.8,,,sysco_catalog,false
7191401,Egg Hardcooked Cf Grab N Go Drypick,28,CT,2.713,,,sysco_catalog,false
7199866,Egg Hardcooked Cgfree Hard Pk,144,CT,15.0,,,sysco_catalog,false
7093117,Appetizer Bite Mac & Four Cheese,100,CT,5.63,,,sysco_catalog,false
6986210,Appetizer Brie With Raspberries In Phyllo,100,CT,3.43,,,sysco_catalog,false
2904625,Appetizer Bun Steam Folded 1.1 Ounce,200,CT,13.2,,,sysco_catalog,false
6944334,Appetizer Frank In Puff Pastry,100,CT,3.4,,,sysco_catalog,false
7311488,Appetizer Spring Roll Chile Relleno,56,CT,5.25,,,sysco_catalog,false
1309863,"Bread Pita Plain 7""",120,CT,24.0,,,sysco_catalog,false
1491552,"Bun Brioche 4.5""",80,CT,17.5,,,sysco_catalog,false
3746377,Bun Brioche Bistro Slider,192,CT,15.3,,,sysco_catalog,false
758401,Bun Hamburger Gluten Free Individually Wrapped,24,EA,4.8,,,sysco_catalog,false
226060,Churro Mexican Mini 2 Inch,500,CT,14.0,,,sysco_catalog,false
7860196,Cupcake Assorted,32,CT,4.8,,,sysco_catalog,false
2008597,"Roll Hoagie Sour Sliced 6""-7""",36,CT,7.965,,,sysco_catalog,false
7202795,Perks Promo,1,EA,0.01,,,sysco_catalog,false
9903271,Pork Belly Skin On,2,PCE,27.904,,,sysco_catalog,false
6046789,Pork Butt Bone-in 1/4 8-12 Pound Each,8,PCE,80.763,,,sysco_catalog,false
5781077,"Pork Butt Boneless .25"" Trim",8,PCE,92.605,,,sysco_catalog,false
7863634,Bag Plastic Low Density Reclosable Gallon 10.5,250,CT,4.41,,,sysco_catalog,false
2539056,Band Napkin Black 1.5 Inch X 4.25 Inch,5000,CT,4.25,,,sysco_catalog,false
1558790,Band Napkin White 4.25x1.5,4000,CT,3.15,,,sysco_catalog,false
1423211,Container Paper #1 Takeout Kraft,180,CT,9.0,,,sysco_catalog,false
1423726,Container Paper #4 Takeout Kraft,90,CT,13.0,,,sysco_catalog,false
7385215,Container Paper #8 Take Out Kraft,300,CT,19.85,,,sysco_catalog,false
1423225,Container Paper #8 Takeout Kraft,130,CT,8.75,,,sysco_catalog,false
7064453,Container Paper Polylactic Acid Lined Soup Container 8 Ounce,500,CT,10.93,,,sysco_catalog,false
7064444,Container Paper Soup 12 Ounce,500,CT,12.78,,,sysco_catalog,false
7116469,Container Paper Trendz 12 Ounce Round Combo With Plastic Lid,250,CT,9.52,,,sysco_catalog,false
1242209,Crayons Assorted Double-tip 2 Pack Red & Blue/green & Yellow,1000,CT,16.12,,,sysco_catalog,false
7064596,Cup Plastic Black Portion 4 Ounce,3000,CT,23.479,,,sysco_catalog,false
7131355,Cup Plastic Clear Rpet 12-14 Ounce,420,CT,12.315,,,sysco_catalog,false
7473299,Cup Plastic Clear Rpet Squat 9 Ounce,975,CT,21.07,,,sysco_catalog,false
7790658,Cup Plastic Portion Black 2 Ounce,2400,CT,11.587,,,sysco_catalog,false
7790239,Cup Plastic Portion Translucent 2 Ounce,2400,CT,11.587,,,sysco_catalog,false
7064617,Cup Plastic R Pet Clear 16 Ounce,840,CT,29.256,,,sysco_catalog,false
205419,Filter Coffee Paper Altra 15 Inch X 5 Inch Us,500,CT,5.4,,,sysco_catalog,false
2970457,Filter Grease Cone 10 Inch,500,CT,11.0,,,sysco_catalog,false
4685621,Glove Nitrile Foodservice Powder-free Black Extra-large,1000,CT,8.18,,,sysco_catalog,false
4685614,Glove Nitrile Foodservice Powder-free Black Large,1000,CT,7.73,,,sysco_catalog,false
4685594,Glove Nitrile Foodservice Powder-free Black Medium,1000,CT,7.29,,,sysco_catalog,false
4685576,Glove Nitrile Foodservice Powder-free Black Small,1000,CT,6.79,,,sysco_catalog,false
4220580,"Label Roll Shelf Life Dissolvable 2"" X 3""",500,CT,20.88,,,sysco_catalog,false
4218998,Label Roll Universal Plastic 2 Inch X 2 Inch,750,CT,13.44,,,sysco_catalog,false
4218980,Label Roll Universal Plastic 2 Inch X 3 Inch,500,CT,20.88,,,sysco_catalog,false
7790795,Lid Plastic Clear For 1.5-2.5 Ounce Portion,2400,CT,6.878,,,sysco_catalog,false
7793736,Lid Plastic Clear For 3-4 Ounce Portion Cup,2400,CT,9.5,,,sysco_catalog,false
8001770,Lid Plastic Dome Clear 16-24 Ounce No Hole,900,CT,7.54,,,sysco_catalog,false
4038535,Lid Plastic For 12 16 & 22 Ounce Cups,2000,CT,7.055,,,sysco_catalog,false
7273951,Liner Basket News Paper Print 12x12,5000,CT,30.83,,,sysco_catalog,false
1288192,Napkin Beverage 9.5 Inch X 9.5 Inch 2-ply Black,1000,CT,4.65,,,sysco_catalog,false
