sku,ingredient,pack_size,pack_unit,sysco_net_wt_lb,tare_lb,verified_net_weight_g,source,verified
3914261,"BEEF, CHEEK MEAT REFRIG",3,PC,30.00,,,shamrock_catalog_2026-03,true
4884541,"TROUT, RAINBOW WHL 9-11Z PBO BTRFLY",1,PC,10.00,,,shamrock_catalog_2026-03,true
2324001,"HAM, BLK FRST 97% FF WHL SMKD WA CKD",2,PC,20.00,,,shamrock_catalog_2026-03,true
4819921,"TURKEY, WHL W-GIBLET 12-16LB REFRIG",4,PC,56.00,,,shamrock_catalog_2026-03,true
3559871,"TURKEY, TOM 20-24LB REFRIG",2,PC,44.00,,,shamrock_catalog_2026-03,true
0017098,"CHICKEN, BRST CUTLET 5Z BNLS SKNLS",4,PC,20.00,,,shamrock_catalog_2026-03,true
1318111,"CHEESE, COTIJA RNDM CUT",12,PC,12.00,,,shamrock_catalog_2026-03,true
3118441,"CHEESE, COTIJA QTRD CWT",1,PC,12.50,,,shamrock_catalog_2026-03,true
0034176,"CHICKEN, WOG 3-3.25LB HALAL",16,PC,48.00,,,shamrock_catalog_2026-03,true
2377871,"CHICKEN, WOG 3-3.5LB FRYER 12HD",12,PC,36.00,,,shamrock_catalog_2026-03,true
1928081,"PORK, BUTT BNLS CVP REFRIG P12NC",1,PC,65.00,,,shamrock_catalog_2026-03,true
