ingredient,qty,unit,portions_per_batch,notes
beef tenderloin,3,lb,50 ea,trimmed; seared rare; rested + sliced thin. SOURCE: in-house
baguette,4,ea,50 ea,sliced 1/2-in rounds (~12-13 per loaf). SOURCE: in-house
extra-virgin olive oil,0.5,cup,50 ea,brush crostini before toasting. SOURCE: in-house
garlic,4,clove,50 ea,raw clove rub on toasted crostini. SOURCE: in-house
kosher salt,1,tbsp,50 ea,seasoning beef + crostini. SOURCE: in-house
black pepper,1,tsp,50 ea,freshly ground. SOURCE: in-house
sour cream,1,cup,50 ea,horseradish cream base. SOURCE: in-house
mayonnaise,0.5,cup,50 ea,horseradish cream base. SOURCE: in-house
prepared horseradish,0.25,cup,50 ea,drained. SOURCE: in-house
dijon mustard,1,tbsp,50 ea,horseradish cream. SOURCE: in-house
fresh chives,0.25,cup,50 ea,sliced; in cream + garnish. SOURCE: in-house
arugula,0.5,lb,50 ea,under tenderloin slice. SOURCE: in-house
capers,2,tbsp,50 ea,drained; garnish. CHEF REVIEW — confirm whether on every crostini or alternate.
parmesan reggiano,2,oz,50 ea,shaved; garnish. CHEF REVIEW — optional finish.
