ingredient,qty,unit,portions_per_batch,notes
pork butt,32,lb,4 hotel pan,cubed pork shoulder
kosher salt,10,tbsp,4 hotel pan,Phase A dry mix
mexican oregano,10,tbsp,4 hotel pan,Phase A dry mix
cumin,10,tbsp,4 hotel pan,Phase A dry mix (ground)
chili powder,2,tbsp,4 hotel pan,Phase A dry mix
black pepper,2,tbsp,4 hotel pan,Phase A dry mix
cinnamon,1,tbsp,4 hotel pan,Phase A dry mix (ground)
bacon lard,4,cup,4 hotel pan,melted
oil,4,cup,4 hotel pan,
white onion,8,ea,4 hotel pan,roughly chopped
garlic cloves,48,ea,4 hotel pan,smashed
bay leaves,16,ea,4 hotel pan,
orange,8,ea,4 hotel pan,juiced + spent rinds into braise
lime,8,ea,4 hotel pan,juiced
