ingredient,qty,unit,portions_per_batch,notes
mayonnaise,6,cup,1,dressing
drained pickle relish,2.25,cup,1,dressing
buttermilk,0.75,cup,1,dressing
prepared horseradish,0.25,cup,1,dressing
spicy brown mustard,0.25,cup,1,dressing; or dijon
apple cider vinegar,0.75,cup,1,dressing
sugar,3,tbsp,1,dressing
kosher salt,,,1,dressing; to taste
pepper,,,1,dressing; to taste
green cabbage,10,qt,1,slaw; finely shredded
scallion greens,3,cup,1,slaw; finely chopped
scallion whites,3,cup,1,slaw; finely chopped
