ingredient,qty,unit,portions_per_batch,notes
pork butt,10,lb,~8 qt,medium dice; PDF p16
water,5,cup,~8 qt,
tomatillos,2,#10 can,~8 qt,
hatch chile with juice,2,bag,~8 qt,
yellow onions,1.75,lb,~8 qt,small dice
granulated garlic,0.5,cup,~8 qt,
dried oregano,0.333,cup,~8 qt,
cumin,0.5,cup,~8 qt,
chicken base,3,cup,~8 qt,
garlic puree,1,cup,~8 qt,
ap flour,1,lb,~8 qt,roux with the bacon fat — finishes the stew. PDF p16; missing from this CSV until 2026-09-03
bacon fat,1,lb,~8 qt,roux with the AP flour — finishes the stew. PDF p16; missing from this CSV until 2026-09-03
