ingredient,qty,unit,portions_per_batch,notes
unsalted butter,2,tbsp,~4 cup,
ap flour,2,tbsp,~4 cup,all-purpose
modelo especial,1,cup,~4 cup,
whole milk,1,cup,~4 cup,or half-and-half
sharp cheddar,8,oz,~4 cup,shredded
pepper jack,4,oz,~4 cup,shredded
cream cheese,2,oz,~4 cup,softened
hatch green chile,2,ea,~4 cup,medium; roasted peeled seeded and diced
chipotle in adobo,1,ea,~4 cup,minced
smoked paprika,1,tsp,~4 cup,
ground cumin,0.5,tsp,~4 cup,
garlic powder,0.5,tsp,~4 cup,
onion powder,0.25,tsp,~4 cup,
salt,0.5,tsp,~4 cup,to taste
