ingredient,qty,unit,portions_per_batch,notes
crushed tomatoes,10,can,~4 qt,#10 can size assumed; use 1 case when scaling
unsalted butter,8,tbsp,~4 qt,1 stick
yellow onion,3,ea,~4 qt,large; finely diced
garlic,6,clove,~4 qt,minced
dry white wine,2,cup,~4 qt,Sauvignon Blanc or Pinot Grigio
chicken stock,2,qt,~4 qt,low-sodium; vegetable stock may substitute
heavy cream,4,cup,~4 qt,
fresh thyme,7,sprig,~4 qt,6-7 sprigs plus extra for garnish
kosher salt,2,tsp,~4 qt,1½-2 tsp to taste
black pepper,1,tsp,~4 qt,freshly ground
